zpid,price,latitude,longitude,beds,baths,area
29791833,498000.0,40.816025,-73.862965,3.0,2.0,1344.0
29791842,250000.0,40.815129,-73.862002,5.0,2.0,1200.0
29791910,437000.0,40.81593,-73.861021,3.0,3.0,1836.0
29791912,539000.0,40.815797,-73.860983,4.0,3.0,1248.0
29791922,350000.0,40.815588,-73.859182,1.0,2.0,1410.0
29791970,575000.0,40.815735,-73.858107,3.0,2.0,1930.0
29792011,410000.0,40.815817,-73.857505,3.0,3.0,1600.0
29792014,450000.0,40.816052,-73.857634,4.0,3.0,1700.0
29792058,400000.0,40.816299,-73.857322,3.0,2.0,1224.0
29792172,575000.0,40.817145,-73.852911,5.0,3.0,2325.0
29792306,670000.0,40.817004,-73.864089,5.0,3.0,2510.0
29792386,450000.0,40.818544,-73.863527,3.0,2.0,2500.0
29792437,458328.0,40.818762,-73.861107,2.0,2.0,1410.0
29792450,415000.0,40.817892,-73.860527,3.0,2.0,1600.0
29792492,462500.0,40.820956,-73.845833,3.0,4.0,1330.0
29792497,433000.0,40.820908,-73.846188,3.0,3.0,1730.0
29792534,450000.0,40.820896,-73.846277,3.0,2.0,1330.0
29792576,453000.0,40.819856,-73.866788,3.0,2.0,1776.0
29792582,475000.0,40.819452,-73.866695,3.0,3.0,2500.0
29792596,405000.0,40.819349,-73.866014,3.0,2.0,1908.0
29792599,509000.0,40.819606,-73.866073,3.0,2.0,2272.0
29792601,590000.0,40.819741,-73.866105,3.0,3.0,2272.0
29792711,452852.0,40.819433,-73.862886,3.0,2.0,1744.0
29792846,470496.0,40.821593,-73.85218,3.0,2.0,1540.0
29792856,485000.0,40.821474,-73.853068,3.0,2.0,1540.0
29792858,470000.0,40.82145,-73.853246,4.0,2.0,1760.0
29792860,495000.0,40.821426,-73.853424,3.0,2.0,1540.0
29792861,494000.0,40.821414,-73.853511,3.0,2.0,1540.0
29792866,520000.0,40.821355,-73.853955,4.0,2.0,1760.0
29792990,420557.0,40.822551,-73.851693,6.0,2.0,2480.0
29793063,480000.0,40.822239,-73.847358,3.0,2.0,1944.0
29793110,510000.0,40.822888,-73.847622,3.0,3.0,1620.0
29793137,430000.0,40.82243,-73.845346,3.0,2.0,1224.0
29793346,375000.0,40.823116,-73.878189,3.0,2.0,1795.0
29793352,455000.0,40.822769,-73.878086,3.0,2.0,1728.0
29793437,417504.0,40.822693,-73.876539,2.0,2.0,1294.0
29793515,580000.0,40.823066,-73.854604,3.0,3.0,1344.0
29793599,495000.0,40.823549,-73.854151,5.0,2.0,2009.0
29793604,530000.0,40.823501,-73.854505,3.0,3.0,2009.0
29793637,405000.0,40.824743,-73.852826,3.0,2.0,1638.0
29793656,442000.0,40.824272,-73.854463,3.0,3.0,1680.0
29793664,485000.0,40.824176,-73.85506,3.0,3.0,1680.0
29793851,469000.0,40.826327,-73.850251,3.0,3.0,1690.0
29793866,498200.0,40.826122,-73.851765,3.0,2.0,1334.0
29793879,480000.0,40.823981,-73.847818,3.0,3.0,1550.0
29793880,520000.0,40.823995,-73.847708,3.0,2.0,1595.0
29793886,487000.0,40.824082,-73.847057,5.0,3.0,1584.0
29793889,450000.0,40.824133,-73.84668,4.0,3.0,1968.0
29793948,475000.0,40.824475,-73.847185,4.0,2.0,1815.0
29793998,510000.0,40.825183,-73.847733,3.0,3.0,2927.0
29794027,405000.0,40.826241,-73.847538,2.0,3.0,1408.0
29794074,575000.0,40.826849,-73.848512,3.0,2.0,1385.0
29794094,625000.0,40.826676,-73.847643,3.0,2.0,2492.0
29794157,475000.0,40.8255,-73.845363,2.0,2.0,1620.0
29794276,465000.0,40.825225,-73.880009,3.0,2.0,1530.0
